Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-08-01,Avengers: Endgame,2019,https://boxd.it/22iXvd,4,,,2019-04-13
2021-08-01,The Girl Who Leapt Through Time,2006,https://boxd.it/22iXgn,4,,,2020-12-30
2021-08-01,Soul,2020,https://boxd.it/22iWYD,4.5,,,2021-01-03
2021-08-01,Saving Private Ryan,1998,https://boxd.it/22iWSF,4.5,,,2021-01-18
2021-08-01,Tenet,2020,https://boxd.it/22iWJj,4,,,2021-02-26
2021-08-01,Yesterday,2019,https://boxd.it/22iWEX,3,,,2021-04-03
2021-08-01,Little Women,2019,https://boxd.it/22iWxR,4.5,,,2021-04-04
2021-08-01,Gladiator,2000,https://boxd.it/22iWpj,4,,netflix,2021-04-06
2021-08-01,Sound of Metal,2019,https://boxd.it/22iWat,3.5,,,2021-04-17
2021-08-01,Midnight in Paris,2011,https://boxd.it/22iWel,4,Yes,,2021-04-17
2021-08-01,Frances Ha,2012,https://boxd.it/22iW2p,5,Yes,,2021-05-01
2021-08-01,The Perks of Being a Wallflower,2012,https://boxd.it/22iVWL,3.5,Yes,,2021-05-03
2021-08-01,Weathering with You,2019,https://boxd.it/22iVFP,4,,,2021-05-14
2021-08-01,Annie Hall,1977,https://boxd.it/22iVOn,5,,Prime video,2021-05-14
2021-08-01,First Man,2018,https://boxd.it/22iSmZ,4,,,2021-05-15
2021-08-01,Fargo,1996,https://boxd.it/22iVfx,4.5,,,2021-06-28
2021-08-01,The Big Lebowski,1998,https://boxd.it/22iV9z,4.5,,,2021-07-02
2021-08-01,Scott Pilgrim vs. the World,2010,https://boxd.it/22j0tf,5,Yes,,2021-07-29
2021-08-01,Hot Fuzz,2007,https://boxd.it/22iUYV,4.5,,,2021-07-30
2021-08-01,Kicking and Screaming,1995,https://boxd.it/22iVj5,4,,,2021-07-31
2021-08-01,Airplane!,1980,https://boxd.it/22iVlZ,4.5,,,2021-07-31
2021-08-01,Manhattan,1979,https://boxd.it/22iVoz,2.5,,,2021-07-31
2021-08-02,The Graduate,1967,https://boxd.it/22ktTN,4.5,,,2021-08-01
2021-08-02,GoodFellas,1990,https://boxd.it/22mrjn,4.5,,,2021-08-01
2021-08-02,The Shawshank Redemption,1994,https://boxd.it/22qegX,5,,,2021-08-01
2021-08-03,The Seventh Seal,1957,https://boxd.it/22vs0f,5,,,2021-08-02
2021-08-03,Grave of the Fireflies,1988,https://boxd.it/22x7S5,3.5,,,2021-08-02
2021-08-03,12 Angry Men,1957,https://boxd.it/22yBiD,5,,,2021-08-02
2021-08-05,Citizen Kane,1941,https://boxd.it/22L5k9,5,,,2021-08-04
2021-08-05,Vertigo,1958,https://boxd.it/22QfDZ,3,,rever eventualmente,2021-08-04
2021-08-06,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/22WPqJ,4,,,2021-08-05
2021-08-07,Moonlight,2016,https://boxd.it/2337tj,4,,,2021-08-06
