Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-08,2021,,https://boxd.it/eQzoe,Filmes de 2021 pra assistir (porque tem muito filme na minha watchlist e isso ficou meio caótico)

Position,Name,Year,URL,Description
1,The Lost Daughter,2021,https://boxd.it/kgww,
2,The Hand of God,2021,https://boxd.it/r5uI,
3,The Summit of the Gods,2021,https://boxd.it/qFIu,
4,Dune,2021,https://boxd.it/fA7G,
5,Titane,2021,https://boxd.it/nlQC,
6,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
7,Licorice Pizza,2021,https://boxd.it/qTKY,
8,The Last Duel,2021,https://boxd.it/mQbe,
9,Lamb,2021,https://boxd.it/tFwE,
10,Drive My Car,2021,https://boxd.it/sv94,
11,Petite Maman,2021,https://boxd.it/s6je,
12,The Velvet Underground,2021,https://boxd.it/jPXA,
13,C'mon C'mon,2021,https://boxd.it/nrI0,
14,The Humans,2021,https://boxd.it/lEQM,
15,The Green Knight,2021,https://boxd.it/kuy2,
16,The Worst Person in the World,2021,https://boxd.it/oyws,
17,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,
18,Benedetta,2021,https://boxd.it/gdNQ,
19,Judas and the Black Messiah,2021,https://boxd.it/lsew,
20,Pleasure,2021,https://boxd.it/lPcy,
21,The Suicide Squad,2021,https://boxd.it/fw6O,
22,Eternals,2021,https://boxd.it/j36o,
23,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
24,Belfast,2021,https://boxd.it/tefG,
25,West Side Story,2021,https://boxd.it/iwt0,
26,CODA,2021,https://boxd.it/tbf4,
27,King Richard,2021,https://boxd.it/mJZ2,
28,Flee,2021,https://boxd.it/ponM,
