Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-08-02,The Shawshank Redemption,1994,https://boxd.it/22qegX,5,,"5 estrelas é pouco, que filme lindo",,2021-08-01
2021-08-03,The Seventh Seal,1957,https://boxd.it/22vs0f,5,,"Claramente uma cópia do episódio ""The View from the Halfway down"" do Bojack Horseman",,2021-08-02
2021-08-03,12 Angry Men,1957,https://boxd.it/22yBiD,5,,"A energia caótica desse filme me lembra toda discussão aleatória e espontânea que surgiu na minha auto escola quando o instrutor falava de uma lei e algum cara aleatório levantava a voz e falava ""É AI QUE TÁ..."" e contava alguma infração que ele cometeu (mas que ele não tinha culpa alguma). Filmaço.",,2021-08-02
2021-08-05,Vertigo,1958,https://boxd.it/22QfDZ,3,,Nas palavras de Alex Turner: don't believe the hype.,rever eventualmente,2021-08-04
2021-08-06,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/22WPqJ,4,,"Puta que pariu, que filme hilário. Finalmente aconteceu: eu gostei de um filme do Kubrick. Aonde eu retiro minha carteirinha de cinéfilo?",,2021-08-05
2021-08-07,Moonlight,2016,https://boxd.it/2337tj,4,,Boyhood só que bom,,2021-08-06
2021-08-07,The King of Comedy,1982,https://boxd.it/234up7,3.5,,"Não ironicamente, coringa é melhor",,2021-08-06
2021-08-07,Primer,2004,https://boxd.it/236e6x,1.5,,"eu acho que entendi uns 10 minutos desse filme. e nem faz sentido tentar entender, porque entender o filme é a única coisa de valiosa que tem aí. eu ia ver de novo agora mas sei lá né, pra que?",,2021-08-06
2021-08-07,Before Sunrise,1995,https://boxd.it/237tdP,4.5,,filmes que descrevem paixonites no circular ou no bandeijao,,2021-08-06
2021-08-08,"Paris, Texas",1984,https://boxd.it/23ggDX,5,,muitos sentimentos,,2021-08-07
2021-08-08,Before Sunset,2004,https://boxd.it/23hjfL,5,,o final desse filme...........,,2021-08-07
2021-08-09,(500) Days of Summer,2009,https://boxd.it/23pe3V,4.5,Yes,eita filminho sofrido,,2022-04-02
2021-08-12,Princess Mononoke,1997,https://boxd.it/23SpGH,3,,Dormi um total de quatro(4) vezes tentando terminar esse filme ao longo de três dias,,2021-08-11
2021-08-16,The Royal Tenenbaums,2001,https://boxd.it/24sKVb,5,,"eu passei os últimos 15 minutos do filme alternando entre gargalhar e chorar, e isso deveria ser ilegal alguém prenda Wes Anderson imediatamente",,2021-08-15
2021-08-20,Moonrise Kingdom,2012,https://boxd.it/24ZtLT,3.5,,Saving private Ryan meets jojo rabbit,,2021-08-19
2021-08-23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/25q3OB,3,,"O personagem do seu Jorge se chama PELÉ DOS SANTOS e sua única função é cantar uns covers do David Bowie em português, ja vale 3 estrelas por isso",,2021-08-22
2021-08-24,Paprika,2006,https://boxd.it/25BG95,4,,"esse filme é tipo ter um sonho febril depois de encher a cara e ter uma bad trip, só que com anime. Também vale a pena assistir porque, além de ter influenciado a melhor música da Japanese Breakfast e o Cristopher Nolan (inception parece um free trial desse filme), também inspirou aquela abertura do domingão do Faustão na qual o Fausto Silva se torna um gigante no céu de São Paulo. Já vale a pena aí","cinema oriental, japão",2021-08-23
2021-08-26,Perfect Blue,1997,https://boxd.it/25TeLV,5,,"eu tô muito desgraçado da cabeça. 5 estrelas, foda-se, melhor filme de anime que já vi, perturbador e genial","mindblown, cinema oriental, japão",2021-08-25
2021-08-29,Isle of Dogs,2018,https://boxd.it/26eqyr,4.5,,"nunca mude, Wesley",,2021-08-28
2021-08-29,2001: A Space Odyssey,1968,https://boxd.it/26hLtX,4.5,Yes,"assistindo pela segunda vez, e continua sendo uma obra prima técnica, continua sendo chato e absurdamente pretensioso. o terceiro e quarto ato do filme poderiam durar 10 minutos e eu não me importaria porque não acontece quase nada de relevante nesses trechos além do Kubrick batendo punheta técnica com os modelinhos e enquadramentos dele",,2021-08-28
2021-08-30,The Tree of Life,2011,https://boxd.it/26otwt,1,,"ui ui ui metáforas, uau fotografia",,2021-08-29
2021-08-30,Before Midnight,2013,https://boxd.it/26sK61,4,,"comecei a chorar nos primeiros 5 minutos de filme. eu daria TUDO pra tomar uma cerveja com o Ethan Hawke, absolutamente tudo",,2021-08-29
2021-09-01,Oldboy,2003,https://boxd.it/26KxVL,3.5,,"trocação de soco honesta seguindo a máxima do seu Madruga mas que se perde as vezes em uns exageros. Compensa pela cena do corredor, que é a melhor cena de luta que já foi feita.","rever eventualmente, cinema oriental, coreia",2021-08-31
2021-09-05,The Host,2006,https://boxd.it/27bOi1,4.5,,Muito melhor do que parece,"cinema oriental, coreia, netflix",2021-09-04
2021-09-05,Mother,2009,https://boxd.it/27g8Wj,5,,"lindo o amor de mãe 


mas sério, o homem simplesmente não erra","coreia, cinema oriental",2021-09-04
2021-09-05,There Will Be Blood,2007,https://boxd.it/27hWRb,3,,"Eu pagaria pra ver o Daniel day Lewis e o Paul Dano conversando sobre absolutamente nada por 2h30. Mas esse filme é basicamente isso: atuação e cinematografia incrível pra falar um bando de coisa rasa e batida durante muito mais tempo do que deveria

EDIT: acabei de olhar o poster do filme e vi que o treco de extrair petróleo forma uma cruz *Eyeroll*",rever eventualmente,2021-09-04
2021-09-07,Paddleton,2019,https://boxd.it/27CcCL,3.5,,como é bom chorar,,2021-09-06
2021-09-13,Boyhood,2014,https://boxd.it/28nq4H,5,Yes,"Nossa, esse filme cresceu TANTO no meu conceito desde a primeira vez que eu vi. Que filme lindo",,2021-09-12
2021-09-14,The Handmaiden,2016,https://boxd.it/28AS97,5,,Pita que pariu porraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa que filme incrível cacete sassksjdkaaaaAaa,"mindblown, cinema oriental, coreia",2021-09-13
2021-09-19,WHAT DID JACK DO?,2017,https://boxd.it/29cfMl,3.5,,"Shitposting cinematográfico, eu amei",,2021-09-18
2021-09-21,Good Morning,2007,https://boxd.it/29uLrP,5,,Eu amo este homem,"cinema oriental, japão",2021-09-20
2021-09-24,I'm Thinking of Ending Things,2020,https://boxd.it/29QYet,1.5,,O problema do cineasta é achar que ele tem que ser conceitual,netflix,2021-09-23
2021-09-26,Lost Highway,1997,https://boxd.it/2a6huv,5,,"aquela sensação gostosa de parar de tentar fazer os acontecimentos do filme fazerem sentido e só aproveitar o quanto esse homem é maluco, amei","telecine, mindblown",2021-09-25
2021-09-27,Nomadland,2020,https://boxd.it/2ahv3v,3,,"um filme que fala de como o capitalismo falhou como sistema nos EUA mas que usa a Amazon como uma rede de segurança pra protagonista várias vezes no filme, eu achei hilário",telecine,2021-09-26
2021-10-03,The Lighthouse,2019,https://boxd.it/2b2Mih,4.5,,"""YOUR GODAMNED FARTS!"" *esmurra a parede*",telecine,2021-10-02
2021-10-05,Train to Busan,2016,https://boxd.it/2bqGXL,2,,Linda a capacidade do cinema em conectar diversos povos mostrando que existe filme ruim em todo lugar,"cinema oriental, coreia, netflix, filmes que começam muito bons mas ficam muito ruins",2021-10-04
2021-10-18,8½,1963,https://boxd.it/2dqued,5,,Feeling some intense Neon Genesis: Evangelion vibes from this one,"telecine, mindblown, rever eventualmente, italia",2021-10-17
2021-10-22,The Wind Rises,2013,https://boxd.it/2dZCOX,5,Yes,O melhor filme do Myiazaki e eu saio na mão com quem discordar,,2021-10-21
2021-10-24,Halloween,1978,https://boxd.it/2ehw4P,2,,Tão tosco que fica bom,,2021-10-23
2021-11-01,Reservoir Dogs,1992,https://boxd.it/2fCUNF,5,Yes,With Steve Buscemi as THE PROFESSIONAL,telecine,2021-10-31
2021-11-02,Rear Window,1954,https://boxd.it/2fQfLr,4.5,,Hitchcock inventou o conceito de procrastinar o máximo possível e rushar o trabalho quando chegar perto do prazo,,2021-11-01
2021-11-07,The Florida Project,2017,https://boxd.it/2gwBpB,2,,Peidou na farofa,"prime video, filmes que começam muito bons mas ficam muito ruins, hahaha sim linda eu sou um diretor super artístico",2021-11-06
