Date,Name,Year,Letterboxd URI
2021-08-02,Call Me by Your Name,2017,https://boxd.it/dYmm
2021-08-02,Solaris,1972,https://boxd.it/2a2Y
2021-08-02,Live Flesh,1997,https://boxd.it/2aJ4
2021-08-02,Waves,2019,https://boxd.it/jpmy
2021-08-02,Muriel's Wedding,1994,https://boxd.it/2aO4
2021-08-02,The Sound of Music,1965,https://boxd.it/1MLK
2021-08-02,Harvey,1950,https://boxd.it/1T5w
2021-08-02,The Green Knight,2021,https://boxd.it/kuy2
2021-08-02,The Revenant,2015,https://boxd.it/8H5e
2021-08-02,Estômago: A Gastronomic Story,2007,https://boxd.it/2hnO
2021-08-02,Bald Mountain,2013,https://boxd.it/6Jws
2021-08-02,Bacurau,2019,https://boxd.it/fSUG
2021-08-02,Aquarius,2016,https://boxd.it/d6YQ
2021-08-02,Persona,1966,https://boxd.it/29B4
2021-08-02,Greenberg,2010,https://boxd.it/1rt6
2021-08-02,Mistress America,2015,https://boxd.it/9UfS
2021-08-02,Mr. Jealousy,1997,https://boxd.it/vM0
2021-08-02,Margot at the Wedding,2007,https://boxd.it/1OX4
2021-08-02,The Fly,1986,https://boxd.it/1YIe
2021-08-03,Diggers,2006,https://boxd.it/1IFS
2021-08-03,Hannah and Her Sisters,1986,https://boxd.it/23jy
2021-08-03,Once Upon a Time in the West,1968,https://boxd.it/2az4
2021-08-03,Fail Safe,1964,https://boxd.it/2afS
2021-08-03,The Ox-Bow Incident,1943,https://boxd.it/29ai
2021-08-03,Gone with the Wind,1939,https://boxd.it/29Fq
2021-08-03,The Birds,1963,https://boxd.it/2a6m
2021-08-03,Paths of Glory,1957,https://boxd.it/29b6
2021-08-04,Zombie Flesh Eaters,1979,https://boxd.it/217q
2021-08-04,Night of the Living Dead,1968,https://boxd.it/1WwA
2021-08-04,Roadrunner: A Film About Anthony Bourdain,2021,https://boxd.it/nRb2
2021-08-04,Man on the Moon,1999,https://boxd.it/281k
2021-08-04,Seven Samurai,1954,https://boxd.it/2axi
2021-08-04,Melancholia,2011,https://boxd.it/bPI
2021-08-04,Antichrist,2009,https://boxd.it/1Inu
2021-08-04,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2021-08-05,Fitzcarraldo,1982,https://boxd.it/1YV8
2021-08-05,First Cow,2019,https://boxd.it/krga
2021-08-05,The Master,2012,https://boxd.it/2cBG
2021-08-05,Once Upon a Time in America,1984,https://boxd.it/2aCs
2021-08-05,A Fistful of Dollars,1964,https://boxd.it/2auo
